doc_id,sent_id,entity_id,type,text,charOffset,source_type,file_name
DDI-DrugBank.d368,DDI-DrugBank.d368.s3,DDI-DrugBank.d368.s3.e1,brand,DIAMOX,60-65,drugbank,Acetazolamide_ddi.xml
DDI-DrugBank.d368,DDI-DrugBank.d368.s4,DDI-DrugBank.d368.s4.e0,brand,DIAMOX,74-79,drugbank,Acetazolamide_ddi.xml
DDI-DrugBank.d353,DDI-DrugBank.d353.s3,DDI-DrugBank.d353.s3.e0,brand,Soriatane,62-70,drugbank,Acitretin_ddi.xml
DDI-DrugBank.d353,DDI-DrugBank.d353.s21,DDI-DrugBank.d353.s21.e0,brand,Soriatane,103-111,drugbank,Acitretin_ddi.xml
DDI-DrugBank.d353,DDI-DrugBank.d353.s22,DDI-DrugBank.d353.s22.e0,brand,Soriatane,129-137,drugbank,Acitretin_ddi.xml
DDI-DrugBank.d353,DDI-DrugBank.d353.s23,DDI-DrugBank.d353.s23.e0,brand,Soriatane,71-79,drugbank,Acitretin_ddi.xml
DDI-DrugBank.d493,DDI-DrugBank.d493.s0,DDI-DrugBank.d493.s0.e1,brand,HUMIRA,14-19,drugbank,Adalimumab_ddi.xml
DDI-DrugBank.d493,DDI-DrugBank.d493.s1,DDI-DrugBank.d493.s1.e0,brand,HUMIRA,63-68,drugbank,Adalimumab_ddi.xml
DDI-DrugBank.d493,DDI-DrugBank.d493.s3,DDI-DrugBank.d493.s3.e1,brand,HUMIRA,61-66,drugbank,Adalimumab_ddi.xml
DDI-DrugBank.d493,DDI-DrugBank.d493.s4,DDI-DrugBank.d493.s4.e2,brand,HUMIRA,81-86,drugbank,Adalimumab_ddi.xml
DDI-DrugBank.d370,DDI-DrugBank.d370.s0,DDI-DrugBank.d370.s0.e0,brand,DIFFERIN,3-10,drugbank,Adapalene_ddi.xml
DDI-DrugBank.d370,DDI-DrugBank.d370.s1,DDI-DrugBank.d370.s1.e3,brand,DIFFERIN,130-137,drugbank,Adapalene_ddi.xml
DDI-DrugBank.d370,DDI-DrugBank.d370.s2,DDI-DrugBank.d370.s2.e0,brand,DIFFERIN,79-86,drugbank,Adapalene_ddi.xml
DDI-DrugBank.d226,DDI-DrugBank.d226.s0,DDI-DrugBank.d226.s0.e0,brand,Adenocard,12-20,drugbank,Adenosine_ddi.xml
DDI-DrugBank.d226,DDI-DrugBank.d226.s1,DDI-DrugBank.d226.s1.e2,brand,Adenocard,100-108,drugbank,Adenosine_ddi.xml
DDI-DrugBank.d226,DDI-DrugBank.d226.s2,DDI-DrugBank.d226.s2.e0,brand,Adenocard,105-113,drugbank,Adenosine_ddi.xml
DDI-DrugBank.d226,DDI-DrugBank.d226.s3,DDI-DrugBank.d226.s3.e0,brand,Adenocard,11-19,drugbank,Adenosine_ddi.xml
DDI-DrugBank.d449,DDI-DrugBank.d449.s1,DDI-DrugBank.d449.s1.e3,brand,Xanax,46-50,drugbank,Adinazolam_ddi.xml
DDI-DrugBank.d114,DDI-DrugBank.d114.s0,DDI-DrugBank.d114.s0.e0,brand,PROLEUKIN,0-8,drugbank,Aldesleukin_ddi.xml
DDI-DrugBank.d114,DDI-DrugBank.d114.s2,DDI-DrugBank.d114.s2.e6,brand,PROLEUKIN,235-243,drugbank,Aldesleukin_ddi.xml
DDI-DrugBank.d114,DDI-DrugBank.d114.s3,DDI-DrugBank.d114.s3.e0,brand,PROLEUKIN,27-35,drugbank,Aldesleukin_ddi.xml
DDI-DrugBank.d114,DDI-DrugBank.d114.s4,DDI-DrugBank.d114.s4.e0,brand,PROLEUKIN,60-68,drugbank,Aldesleukin_ddi.xml
DDI-DrugBank.d114,DDI-DrugBank.d114.s5,DDI-DrugBank.d114.s5.e0,brand,PROLEUKIN,121-129,drugbank,Aldesleukin_ddi.xml
DDI-DrugBank.d114,DDI-DrugBank.d114.s8,DDI-DrugBank.d114.s8.e0,brand,PROLEUKIN,161-169,drugbank,Aldesleukin_ddi.xml
DDI-DrugBank.d114,DDI-DrugBank.d114.s9,DDI-DrugBank.d114.s9.e1,brand,PROLEUKIN,160-168,drugbank,Aldesleukin_ddi.xml
DDI-DrugBank.d114,DDI-DrugBank.d114.s10,DDI-DrugBank.d114.s10.e1,brand,PROLEUKIN,51-59,drugbank,Aldesleukin_ddi.xml
DDI-DrugBank.d114,DDI-DrugBank.d114.s10,DDI-DrugBank.d114.s10.e2,brand,PROLEUKIN,212-220,drugbank,Aldesleukin_ddi.xml
DDI-DrugBank.d114,DDI-DrugBank.d114.s10,DDI-DrugBank.d114.s10.e3,brand,PROLEUKIN,264-272,drugbank,Aldesleukin_ddi.xml
DDI-DrugBank.d114,DDI-DrugBank.d114.s10,DDI-DrugBank.d114.s10.e6,brand,PROLEUKIN,388-396,drugbank,Aldesleukin_ddi.xml
DDI-DrugBank.d491,DDI-DrugBank.d491.s1,DDI-DrugBank.d491.s1.e0,brand,AMEVIVE,52-58,drugbank,Alefacept_ddi.xml
DDI-DrugBank.d491,DDI-DrugBank.d491.s9,DDI-DrugBank.d491.s9.e0,brand,AMEVIVE,12-18,drugbank,Alefacept_ddi.xml
DDI-DrugBank.d491,DDI-DrugBank.d491.s16,DDI-DrugBank.d491.s16.e0,brand,AMEVIVE,20-26,drugbank,Alefacept_ddi.xml
DDI-DrugBank.d491,DDI-DrugBank.d491.s16,DDI-DrugBank.d491.s16.e1,brand,AMEVIVE,188-194,drugbank,Alefacept_ddi.xml
DDI-DrugBank.d491,DDI-DrugBank.d491.s16,DDI-DrugBank.d491.s16.e2,brand,AMEVIVE,268-274,drugbank,Alefacept_ddi.xml
DDI-DrugBank.d491,DDI-DrugBank.d491.s17,DDI-DrugBank.d491.s17.e0,brand,AMEVIVE,235-241,drugbank,Alefacept_ddi.xml
DDI-DrugBank.d491,DDI-DrugBank.d491.s18,DDI-DrugBank.d491.s18.e0,brand,AMEVIVE,118-124,drugbank,Alefacept_ddi.xml
DDI-DrugBank.d491,DDI-DrugBank.d491.s19,DDI-DrugBank.d491.s19.e0,brand,AMEVIVE,0-6,drugbank,Alefacept_ddi.xml
DDI-DrugBank.d491,DDI-DrugBank.d491.s23,DDI-DrugBank.d491.s23.e0,brand,AMEVIVE,115-121,drugbank,Alefacept_ddi.xml
DDI-DrugBank.d491,DDI-DrugBank.d491.s24,DDI-DrugBank.d491.s24.e0,brand,AMEVIVE,33-39,drugbank,Alefacept_ddi.xml
DDI-DrugBank.d491,DDI-DrugBank.d491.s26,DDI-DrugBank.d491.s26.e0,brand,AMEVIVE,24-30,drugbank,Alefacept_ddi.xml
DDI-DrugBank.d491,DDI-DrugBank.d491.s27,DDI-DrugBank.d491.s27.e0,brand,AMEVIVE,140-146,drugbank,Alefacept_ddi.xml
DDI-DrugBank.d491,DDI-DrugBank.d491.s29,DDI-DrugBank.d491.s29.e0,brand,AMEVIVE,34-40,drugbank,Alefacept_ddi.xml
DDI-DrugBank.d491,DDI-DrugBank.d491.s35,DDI-DrugBank.d491.s35.e0,brand,AMEVIVE,27-33,drugbank,Alefacept_ddi.xml
DDI-DrugBank.d491,DDI-DrugBank.d491.s36,DDI-DrugBank.d491.s36.e0,brand,AMEVIVE,0-6,drugbank,Alefacept_ddi.xml
DDI-DrugBank.d407,DDI-DrugBank.d407.s0,DDI-DrugBank.d407.s0.e0,brand,Campath,89-95,drugbank,Alemtuzumab_ddi.xml
DDI-DrugBank.d407,DDI-DrugBank.d407.s1,DDI-DrugBank.d407.s1.e0,brand,Campath,22-28,drugbank,Alemtuzumab_ddi.xml
DDI-DrugBank.d8,DDI-DrugBank.d8.s0,DDI-DrugBank.d8.s0.e0,brand,ALFENTA,106-112,drugbank,Alfentanil_ddi.xml
DDI-DrugBank.d8,DDI-DrugBank.d8.s3,DDI-DrugBank.d8.s3.e1,brand,ALFENTA,160-166,drugbank,Alfentanil_ddi.xml
DDI-DrugBank.d8,DDI-DrugBank.d8.s3,DDI-DrugBank.d8.s3.e3,brand,ALFENTA,219-225,drugbank,Alfentanil_ddi.xml
DDI-DrugBank.d8,DDI-DrugBank.d8.s3,DDI-DrugBank.d8.s3.e4,brand,ALFENTA,253-259,drugbank,Alfentanil_ddi.xml
DDI-DrugBank.d8,DDI-DrugBank.d8.s4,DDI-DrugBank.d8.s4.e1,brand,ALFENTA,36-42,drugbank,Alfentanil_ddi.xml
DDI-DrugBank.d8,DDI-DrugBank.d8.s5,DDI-DrugBank.d8.s5.e0,brand,ALFENTA,18-24,drugbank,Alfentanil_ddi.xml
DDI-DrugBank.d8,DDI-DrugBank.d8.s5,DDI-DrugBank.d8.s5.e1,brand,ALFENTA,109-115,drugbank,Alfentanil_ddi.xml
DDI-DrugBank.d273,DDI-DrugBank.d273.s0,DDI-DrugBank.d273.s0.e0,brand,UROXATRAL,85-93,drugbank,Alfuzosin_ddi.xml
DDI-DrugBank.d273,DDI-DrugBank.d273.s1,DDI-DrugBank.d273.s1.e0,brand,UROXATRAL,43-51,drugbank,Alfuzosin_ddi.xml
DDI-DrugBank.d392,DDI-DrugBank.d392.s0,DDI-DrugBank.d392.s0.e0,brand,Panretin,26-33,drugbank,Alitretinoin_ddi.xml
DDI-DrugBank.d392,DDI-DrugBank.d392.s2,DDI-DrugBank.d392.s2.e4,brand,Panretin,223-230,drugbank,Alitretinoin_ddi.xml
DDI-DrugBank.d392,DDI-DrugBank.d392.s3,DDI-DrugBank.d392.s3.e0,brand,Panretin,72-79,drugbank,Alitretinoin_ddi.xml
DDI-DrugBank.d413,DDI-DrugBank.d413.s4,DDI-DrugBank.d413.s4.e1,brand,Purinethol,38-47,drugbank,Allopurinol_ddi.xml
DDI-DrugBank.d413,DDI-DrugBank.d413.s4,DDI-DrugBank.d413.s4.e3,brand,Imuran,67-72,drugbank,Allopurinol_ddi.xml
DDI-DrugBank.d299,DDI-DrugBank.d299.s1,DDI-DrugBank.d299.s1.e4,brand,AXERT,173-177,drugbank,Almotriptan_ddi.xml
DDI-DrugBank.d299,DDI-DrugBank.d299.s4,DDI-DrugBank.d299.s4.e2,brand,AXERT,103-107,drugbank,Almotriptan_ddi.xml
DDI-DrugBank.d299,DDI-DrugBank.d299.s7,DDI-DrugBank.d299.s7.e0,brand,AXERT,30-34,drugbank,Almotriptan_ddi.xml
DDI-DrugBank.d299,DDI-DrugBank.d299.s12,DDI-DrugBank.d299.s12.e0,brand,AXERT,0-4,drugbank,Almotriptan_ddi.xml
DDI-DrugBank.d290,DDI-DrugBank.d290.s0,DDI-DrugBank.d290.s0.e0,brand,Prostin VR Pediatric,48-67,drugbank,Alprostadil_ddi.xml
DDI-DrugBank.d290,DDI-DrugBank.d290.s5,DDI-DrugBank.d290.s5.e0,brand,Caverject,0-8,drugbank,Alprostadil_ddi.xml
DDI-DrugBank.d508,DDI-DrugBank.d508.s0,DDI-DrugBank.d508.s0.e0,brand,Activase,19-26,drugbank,Alteplase_ddi.xml
DDI-DrugBank.d508,DDI-DrugBank.d508.s1,DDI-DrugBank.d508.s1.e5,brand,Activase,246-253,drugbank,Alteplase_ddi.xml
DDI-DrugBank.d508,DDI-DrugBank.d508.s2,DDI-DrugBank.d508.s2.e1,brand,Aspirin,23-29,drugbank,Alteplase_ddi.xml
DDI-DrugBank.d508,DDI-DrugBank.d508.s2,DDI-DrugBank.d508.s2.e3,brand,Activase,112-119,drugbank,Alteplase_ddi.xml
DDI-DrugBank.d508,DDI-DrugBank.d508.s3,DDI-DrugBank.d508.s3.e1,brand,aspirin,17-23,drugbank,Alteplase_ddi.xml
DDI-DrugBank.d508,DDI-DrugBank.d508.s3,DDI-DrugBank.d508.s3.e2,brand,Activase,29-36,drugbank,Alteplase_ddi.xml
DDI-DrugBank.d508,DDI-DrugBank.d508.s4,DDI-DrugBank.d508.s4.e1,brand,aspirin,34-40,drugbank,Alteplase_ddi.xml
DDI-DrugBank.d508,DDI-DrugBank.d508.s5,DDI-DrugBank.d508.s5.e0,brand,Activase,40-47,drugbank,Alteplase_ddi.xml
DDI-DrugBank.d188,DDI-DrugBank.d188.s0,DDI-DrugBank.d188.s0.e0,brand,HEXALEN,29-35,drugbank,Altretamine_ddi.xml
DDI-DrugBank.d188,DDI-DrugBank.d188.s1,DDI-DrugBank.d188.s1.e0,brand,HEXALEN,32-38,drugbank,Altretamine_ddi.xml
DDI-DrugBank.d188,DDI-DrugBank.d188.s2,DDI-DrugBank.d188.s2.e1,brand,HEXALEN,108-114,drugbank,Altretamine_ddi.xml
DDI-DrugBank.d563,DDI-DrugBank.d563.s0,DDI-DrugBank.d563.s0.e0,brand,ETHYOL,63-68,drugbank,Amifostine_ddi.xml
DDI-DrugBank.d356,DDI-DrugBank.d356.s5,DDI-DrugBank.d356.s5.e0,brand,MIDAMOR,16-22,drugbank,Amiloride_ddi.xml
DDI-DrugBank.d356,DDI-DrugBank.d356.s6,DDI-DrugBank.d356.s6.e2,brand,MIDAMOR,62-68,drugbank,Amiloride_ddi.xml
DDI-DrugBank.d553,DDI-DrugBank.d553.s0,DDI-DrugBank.d553.s0.e0,brand,AMICAR,138-143,drugbank,Aminocaproic Acid_ddi.xml
DDI-DrugBank.d553,DDI-DrugBank.d553.s3,DDI-DrugBank.d553.s3.e0,brand,AMICAR,26-31,drugbank,Aminocaproic Acid_ddi.xml
DDI-DrugBank.d553,DDI-DrugBank.d553.s4,DDI-DrugBank.d553.s4.e0,brand,AMICAR,21-26,drugbank,Aminocaproic Acid_ddi.xml
DDI-DrugBank.d553,DDI-DrugBank.d553.s7,DDI-DrugBank.d553.s7.e0,brand,AMICAR,41-46,drugbank,Aminocaproic Acid_ddi.xml
DDI-DrugBank.d372,DDI-DrugBank.d372.s0,DDI-DrugBank.d372.s0.e0,brand,Cytadren,0-7,drugbank,Aminoglutethimide_ddi.xml
DDI-DrugBank.d379,DDI-DrugBank.d379.s0,DDI-DrugBank.d379.s0.e0,brand,LEVULAN KERASTICK,56-72,drugbank,Aminolevulinic acid_ddi.xml
DDI-DrugBank.d379,DDI-DrugBank.d379.s1,DDI-DrugBank.d379.s1.e7,brand,LEVULAN KERASTICK,272-288,drugbank,Aminolevulinic acid_ddi.xml
DDI-DrugBank.d22,DDI-DrugBank.d22.s0,DDI-DrugBank.d22.s0.e2,brand,Lanoxin,56-62,drugbank,Aminosalicylic Acid_ddi.xml
DDI-DrugBank.d437,DDI-DrugBank.d437.s15,DDI-DrugBank.d437.s15.e1,brand,NORVIR,164-169,drugbank,Amprenavir_ddi.xml
DDI-DrugBank.d75,DDI-DrugBank.d75.s2,DDI-DrugBank.d75.s2.e1,brand,aspirin,157-163,drugbank,Anagrelide_ddi.xml
DDI-DrugBank.d75,DDI-DrugBank.d75.s4,DDI-DrugBank.d75.s4.e1,brand,aspirin,145-151,drugbank,Anagrelide_ddi.xml
DDI-DrugBank.d75,DDI-DrugBank.d75.s7,DDI-DrugBank.d75.s7.e0,brand,aspirin,20-26,drugbank,Anagrelide_ddi.xml
DDI-DrugBank.d75,DDI-DrugBank.d75.s8,DDI-DrugBank.d75.s8.e1,brand,aspirin,123-129,drugbank,Anagrelide_ddi.xml
DDI-DrugBank.d275,DDI-DrugBank.d275.s1,DDI-DrugBank.d275.s1.e1,brand,Kineret,148-154,drugbank,Anakinra_ddi.xml
DDI-DrugBank.d275,DDI-DrugBank.d275.s2,DDI-DrugBank.d275.s2.e0,brand,Kineret,92-98,drugbank,Anakinra_ddi.xml
DDI-DrugBank.d275,DDI-DrugBank.d275.s3,DDI-DrugBank.d275.s3.e0,brand,Kineret,50-56,drugbank,Anakinra_ddi.xml
DDI-DrugBank.d195,DDI-DrugBank.d195.s3,DDI-DrugBank.d195.s3.e1,brand,ARIMIDEX,184-191,drugbank,Anastrozole_ddi.xml
DDI-DrugBank.d195,DDI-DrugBank.d195.s5,DDI-DrugBank.d195.s5.e0,brand,ARIMIDEX,55-62,drugbank,Anastrozole_ddi.xml
DDI-DrugBank.d195,DDI-DrugBank.d195.s9,DDI-DrugBank.d195.s9.e1,brand,ARIMIDEX,54-61,drugbank,Anastrozole_ddi.xml
DDI-DrugBank.d64,DDI-DrugBank.d64.s90,DDI-DrugBank.d64.s90.e1,brand,aspirin,160-166,drugbank,Anisindione_ddi.xml
DDI-DrugBank.d357,DDI-DrugBank.d357.s3,DDI-DrugBank.d357.s3.e9,brand,APOKYN,231-236,drugbank,Apomorphine_ddi.xml
DDI-DrugBank.d357,DDI-DrugBank.d357.s6,DDI-DrugBank.d357.s6.e0,brand,APOKYN,74-79,drugbank,Apomorphine_ddi.xml
DDI-DrugBank.d224,DDI-DrugBank.d224.s1,DDI-DrugBank.d224.s1.e0,brand,IOPIDINE,130-137,drugbank,Apraclonidine_ddi.xml
DDI-DrugBank.d224,DDI-DrugBank.d224.s9,DDI-DrugBank.d224.s9.e0,brand,IOPIDINE,54-61,drugbank,Apraclonidine_ddi.xml
DDI-DrugBank.d105,DDI-DrugBank.d105.s0,DDI-DrugBank.d105.s0.e4,brand,aspirin,166-172,drugbank,Ardeparin_ddi.xml
DDI-DrugBank.d284,DDI-DrugBank.d284.s0,DDI-DrugBank.d284.s0.e1,brand,BROVANA,166-172,drugbank,Arformoterol_ddi.xml
DDI-DrugBank.d284,DDI-DrugBank.d284.s1,DDI-DrugBank.d284.s1.e1,brand,BROVANA,72-78,drugbank,Arformoterol_ddi.xml
DDI-DrugBank.d284,DDI-DrugBank.d284.s2,DDI-DrugBank.d284.s2.e0,brand,BROVANA,22-28,drugbank,Arformoterol_ddi.xml
DDI-DrugBank.d284,DDI-DrugBank.d284.s6,DDI-DrugBank.d284.s6.e0,brand,BROVANA,0-6,drugbank,Arformoterol_ddi.xml
DDI-DrugBank.d284,DDI-DrugBank.d284.s8,DDI-DrugBank.d284.s8.e3,brand,BROVANA,133-139,drugbank,Arformoterol_ddi.xml
DDI-DrugBank.d284,DDI-DrugBank.d284.s9,DDI-DrugBank.d284.s9.e0,brand,BROVANA,64-70,drugbank,Arformoterol_ddi.xml
DDI-DrugBank.d284,DDI-DrugBank.d284.s9,DDI-DrugBank.d284.s9.e1,brand,BROVANA,154-160,drugbank,Arformoterol_ddi.xml
DDI-DrugBank.d284,DDI-DrugBank.d284.s10,DDI-DrugBank.d284.s10.e0,brand,BROVANA,65-71,drugbank,Arformoterol_ddi.xml
DDI-DrugBank.d284,DDI-DrugBank.d284.s10,DDI-DrugBank.d284.s10.e1,brand,BROVANA,93-99,drugbank,Arformoterol_ddi.xml
DDI-DrugBank.d284,DDI-DrugBank.d284.s12,DDI-DrugBank.d284.s12.e2,brand,BROVANA,57-63,drugbank,Arformoterol_ddi.xml
DDI-DrugBank.d148,DDI-DrugBank.d148.s2,DDI-DrugBank.d148.s2.e0,brand,Aspirin,0-6,drugbank,Argatroban_ddi.xml
DDI-DrugBank.d148,DDI-DrugBank.d148.s2,DDI-DrugBank.d148.s2.e3,brand,aspirin,158-164,drugbank,Argatroban_ddi.xml
DDI-DrugBank.d509,DDI-DrugBank.d509.s0,DDI-DrugBank.d509.s0.e1,brand,ABILIFY,98-104,drugbank,Aripiprazole_ddi.xml
DDI-DrugBank.d509,DDI-DrugBank.d509.s3,DDI-DrugBank.d509.s3.e0,brand,ABILIFY,36-42,drugbank,Aripiprazole_ddi.xml
DDI-DrugBank.d509,DDI-DrugBank.d509.s3,DDI-DrugBank.d509.s3.e1,brand,Aripiprazole,44-55,drugbank,Aripiprazole_ddi.xml
DDI-DrugBank.d509,DDI-DrugBank.d509.s24,DDI-DrugBank.d509.s24.e0,brand,ABILIFY,14-20,drugbank,Aripiprazole_ddi.xml
DDI-DrugBank.d509,DDI-DrugBank.d509.s28,DDI-DrugBank.d509.s28.e1,brand,ABILIFY,96-102,drugbank,Aripiprazole_ddi.xml
DDI-DrugBank.d470,DDI-DrugBank.d470.s0,DDI-DrugBank.d470.s0.e0,brand,TRISENOX,72-79,drugbank,Arsenic trioxide_ddi.xml
DDI-DrugBank.d470,DDI-DrugBank.d470.s1,DDI-DrugBank.d470.s1.e0,brand,TRISENOX,24-31,drugbank,Arsenic trioxide_ddi.xml
DDI-DrugBank.d21,DDI-DrugBank.d21.s0,DDI-DrugBank.d21.s0.e0,brand,ELSPAR,48-53,drugbank,Asparaginase_ddi.xml
DDI-DrugBank.d21,DDI-DrugBank.d21.s1,DDI-DrugBank.d21.s1.e1,brand,ELSPAR,82-87,drugbank,Asparaginase_ddi.xml
DDI-DrugBank.d21,DDI-DrugBank.d21.s1,DDI-DrugBank.d21.s1.e2,brand,ELSPAR,121-126,drugbank,Asparaginase_ddi.xml
DDI-DrugBank.d443,DDI-DrugBank.d443.s0,DDI-DrugBank.d443.s0.e1,brand,Aspirin,19-25,drugbank,Aspirin_ddi.xml
DDI-DrugBank.d443,DDI-DrugBank.d443.s1,DDI-DrugBank.d443.s1.e1,brand,aspirin,39-45,drugbank,Aspirin_ddi.xml
DDI-DrugBank.d443,DDI-DrugBank.d443.s2,DDI-DrugBank.d443.s2.e1,brand,aspirin,49-55,drugbank,Aspirin_ddi.xml
DDI-DrugBank.d443,DDI-DrugBank.d443.s5,DDI-DrugBank.d443.s5.e0,brand,aspirin,31-37,drugbank,Aspirin_ddi.xml
DDI-DrugBank.d443,DDI-DrugBank.d443.s6,DDI-DrugBank.d443.s6.e1,brand,aspirin,25-31,drugbank,Aspirin_ddi.xml
DDI-DrugBank.d443,DDI-DrugBank.d443.s7,DDI-DrugBank.d443.s7.e2,brand,aspirin,54-60,drugbank,Aspirin_ddi.xml
DDI-DrugBank.d443,DDI-DrugBank.d443.s8,DDI-DrugBank.d443.s8.e1,brand,aspirins,26-33,drugbank,Aspirin_ddi.xml
DDI-DrugBank.d443,DDI-DrugBank.d443.s9,DDI-DrugBank.d443.s9.e1,brand,Aspirin,25-31,drugbank,Aspirin_ddi.xml
DDI-DrugBank.d73,DDI-DrugBank.d73.s1,DDI-DrugBank.d73.s1.e0,brand,TENORMIN,22-29,drugbank,Atenolol_ddi.xml
DDI-DrugBank.d73,DDI-DrugBank.d73.s2,DDI-DrugBank.d73.s2.e1,brand,TENORMIN,74-81,drugbank,Atenolol_ddi.xml
DDI-DrugBank.d73,DDI-DrugBank.d73.s7,DDI-DrugBank.d73.s7.e1,brand,aspirin,48-54,drugbank,Atenolol_ddi.xml
DDI-DrugBank.d73,DDI-DrugBank.d73.s8,DDI-DrugBank.d73.s8.e0,brand,aspirin,106-112,drugbank,Atenolol_ddi.xml
DDI-DrugBank.d11,DDI-DrugBank.d11.s0,DDI-DrugBank.d11.s0.e1,brand,STRATTERA,35-43,drugbank,Atomoxetine_ddi.xml
DDI-DrugBank.d11,DDI-DrugBank.d11.s3,DDI-DrugBank.d11.s3.e0,brand,STRATTERA,21-29,drugbank,Atomoxetine_ddi.xml
DDI-DrugBank.d11,DDI-DrugBank.d11.s6,DDI-DrugBank.d11.s6.e0,brand,STRATTERA,64-72,drugbank,Atomoxetine_ddi.xml
DDI-DrugBank.d140,DDI-DrugBank.d140.s1,DDI-DrugBank.d140.s1.e2,brand,Maalox TC,31-39,drugbank,Atorvastatin_ddi.xml
DDI-DrugBank.d424,DDI-DrugBank.d424.s1,DDI-DrugBank.d424.s1.e0,brand,MEPRON,53-58,drugbank,Atovaquone_ddi.xml
DDI-DrugBank.d424,DDI-DrugBank.d424.s3,DDI-DrugBank.d424.s3.e2,brand,MEPRON,43-48,drugbank,Atovaquone_ddi.xml
DDI-DrugBank.d424,DDI-DrugBank.d424.s4,DDI-DrugBank.d424.s4.e1,brand,MEPRON,86-91,drugbank,Atovaquone_ddi.xml
DDI-DrugBank.d424,DDI-DrugBank.d424.s6,DDI-DrugBank.d424.s6.e0,brand,MEPRON,47-52,drugbank,Atovaquone_ddi.xml
DDI-DrugBank.d424,DDI-DrugBank.d424.s7,DDI-DrugBank.d424.s7.e0,brand,MEPRON,55-60,drugbank,Atovaquone_ddi.xml
DDI-DrugBank.d469,DDI-DrugBank.d469.s0,DDI-DrugBank.d469.s0.e0,brand,TRACRIUM,61-68,drugbank,Atracurium_ddi.xml
DDI-DrugBank.d469,DDI-DrugBank.d469.s7,DDI-DrugBank.d469.s7.e0,brand,TRACRIUM,61-68,drugbank,Atracurium_ddi.xml
DDI-DrugBank.d469,DDI-DrugBank.d469.s9,DDI-DrugBank.d469.s9.e1,brand,TRACRIUM,160-167,drugbank,Atracurium_ddi.xml
DDI-DrugBank.d469,DDI-DrugBank.d469.s10,DDI-DrugBank.d469.s10.e0,brand,TRACRIUM,0-7,drugbank,Atracurium_ddi.xml
DDI-DrugBank.d374,DDI-DrugBank.d374.s0,DDI-DrugBank.d374.s0.e2,brand,Solganal,109-116,drugbank,Auranofin_ddi.xml
DDI-DrugBank.d374,DDI-DrugBank.d374.s0,DDI-DrugBank.d374.s0.e3,brand,Myochrysine,122-132,drugbank,Auranofin_ddi.xml
DDI-DrugBank.d374,DDI-DrugBank.d374.s1,DDI-DrugBank.d374.s1.e2,brand,Depen,58-62,drugbank,Auranofin_ddi.xml
DDI-DrugBank.d374,DDI-DrugBank.d374.s1,DDI-DrugBank.d374.s1.e3,brand,Cuprimine,65-73,drugbank,Auranofin_ddi.xml
DDI-DrugBank.d147,DDI-DrugBank.d147.s0,DDI-DrugBank.d147.s0.e0,brand,Vidaza,56-61,drugbank,Azacitidine_ddi.xml
DDI-DrugBank.d233,DDI-DrugBank.d233.s2,DDI-DrugBank.d233.s2.e0,brand,co-trimoxazole,100-113,drugbank,Azathioprine_ddi.xml
DDI-DrugBank.d53,DDI-DrugBank.d53.s17,DDI-DrugBank.d53.s17.e0,brand,Zmax,67-70,drugbank,Azithromycin_ddi.xml
DDI-DrugBank.d523,DDI-DrugBank.d523.s2,DDI-DrugBank.d523.s2.e0,brand,KEMSTRO,14-20,drugbank,Baclofen_ddi.xml
