doc_id,sent_id,text,source_type,file_name
DDI-DrugBank.d0,DDI-DrugBank.d0.s2,Co-administration of naltrexone with Acamprosate produced a 25% increase in AUC and a 33% increase in the Cmax of acamprosate.,drugbank,Acamprosate_ddi.xml
DDI-DrugBank.d0,DDI-DrugBank.d0.s3,No adjustment of dosage is recommended in such patients.,drugbank,Acamprosate_ddi.xml
DDI-DrugBank.d0,DDI-DrugBank.d0.s4,The pharmacokinetics of naltrexone and its major metabolite 6-beta-naltrexol were unaffected following co-administration with Acamprosate.,drugbank,Acamprosate_ddi.xml
DDI-DrugBank.d0,DDI-DrugBank.d0.s5,"Other concomitant therapies: In clinical trials, the safety profile in subjects treated with Acamprosate concomitantly with anxiolytics, hypnotics and sedatives (including benzodiazepines), or non-opioid analgesics was similar to that of subjects taking placebo with these concomitant medications.",drugbank,Acamprosate_ddi.xml
DDI-DrugBank.d0,DDI-DrugBank.d0.s6,"Patients taking Acamprosate concomitantly with antidepressants more commonly reported both weight gain and weight loss, compared with patients taking either medication alone.",drugbank,Acamprosate_ddi.xml
DDI-DrugBank.d536,DDI-DrugBank.d536.s0,Certain drugs tend to produce hyperglycemia and may lead to loss of blood glucose control.,drugbank,Acarbose_ddi.xml
DDI-DrugBank.d536,DDI-DrugBank.d536.s1,"These drugs include the thiazides and other diuretics, corticosteroids, phenothiazines, thyroid products, estrogens, oral contraceptives, phenytoin, nicotinic acid, sympathomimetics, calcium channel-blocking drugs, and isoniazid.",drugbank,Acarbose_ddi.xml
DDI-DrugBank.d536,DDI-DrugBank.d536.s2,"When such drugs are administered to a patient receiving Acarbose, the patient should be closely observed for loss of blood glucose control.",drugbank,Acarbose_ddi.xml
DDI-DrugBank.d536,DDI-DrugBank.d536.s3,"When such drugs are withdrawn from patients receiving Acarbose in combination with sulfonylureas or insulin, patients should be observed closely for any evidence of hypoglycemia.",drugbank,Acarbose_ddi.xml
DDI-DrugBank.d536,DDI-DrugBank.d536.s4,"Intestinal adsorbents (e. g., charcoal) and digestive enzyme preparations containing carbohydrate-splitting enzymes (e. g., amylase, pancreatin) may reduce the effect of Acarbose and should not be taken concomitantly.",drugbank,Acarbose_ddi.xml
DDI-DrugBank.d536,DDI-DrugBank.d536.s5,"Acarbose has been shown to change the bioavailabillty digoxin when they are co-administered, which may require digoxin dose adjustment.",drugbank,Acarbose_ddi.xml
DDI-DrugBank.d536,DDI-DrugBank.d536.s6,"Studies in healthy volunteers have shown that Acarbose has no effect on either the pharmacokinetics or pharmacodynamics of digoxin, nifedipine, propranolol, or ranitidine.",drugbank,Acarbose_ddi.xml
DDI-DrugBank.d536,DDI-DrugBank.d536.s7,Acarbose did not interfere with the absorption or disposition of the sulfonylurea glyburide in diabetic patients.,drugbank,Acarbose_ddi.xml
DDI-DrugBank.d536,DDI-DrugBank.d536.s8,"Acarbose may affect digoxin bioavailabillty and may require dose adjustment of digoxin by 16% (90% confidence interval: 8-23%), decrease mean C max digoxin by 26% (90% confidence interval: 16-34%) and decrease mean trough concentrations of digoxin by 9% (90% confidence limit: 19% decrease to 2% increase).",drugbank,Acarbose_ddi.xml
DDI-DrugBank.d536,DDI-DrugBank.d536.s9,"The amount of metformin absorbed while taking Acarbose was bioequivalent to the amount absorbed when taking placebo, as indicated by the plasma AUC values.",drugbank,Acarbose_ddi.xml
DDI-DrugBank.d536,DDI-DrugBank.d536.s10,"However, the peak plasma level of metformin was reduced by approximately 20% when taking Acarbose due to a slight delay in the absorption of metformin.",drugbank,Acarbose_ddi.xml
DDI-DrugBank.d536,DDI-DrugBank.d536.s11,There is little if any clinically significant interaction between Acarbose and metformin.,drugbank,Acarbose_ddi.xml
DDI-DrugBank.d388,DDI-DrugBank.d388.s0,"Catecholamine-depleting drugs, such as reserpine, may have an additive effect when given with beta-blocking agents.",drugbank,Acebutolol_ddi.xml
DDI-DrugBank.d388,DDI-DrugBank.d388.s1,"Patients treated with acebutolol plus catecholamine depletors should, therefore, be observed closely for evidence of marked bradycardia or hypotension which may present as vertigo, syncope/presyncope, or orthostatic changes in blood pressure without compensatory tachycardia.",drugbank,Acebutolol_ddi.xml
DDI-DrugBank.d388,DDI-DrugBank.d388.s2,"Exaggerated hypertensive responses have been reported from the combined use of beta-adrenergic antagonists and alpha-adrenergic stimulants, including those contained in proprietary cold remedies and vasoconstrictive nasal drops.",drugbank,Acebutolol_ddi.xml
DDI-DrugBank.d388,DDI-DrugBank.d388.s3,Patients receiving beta-blockers should be warned of this potential hazard.,drugbank,Acebutolol_ddi.xml
DDI-DrugBank.d388,DDI-DrugBank.d388.s4,Blunting of the antihypertensive effect of beta-adrenoceptor blocking agents by nonsteroidal anti-inflammatory drugs has been reported.,drugbank,Acebutolol_ddi.xml
DDI-DrugBank.d388,DDI-DrugBank.d388.s5,"No significant interactions with digoxin, hydrochlorothiazide, hydralazine, sulfinpyrazone, oral contraceptives, tolbutamide, or warfarin have been observed.",drugbank,Acebutolol_ddi.xml
DDI-DrugBank.d368,DDI-DrugBank.d368.s0,DIAMOX modifies phenytoin metabolism with increased serum levels of phenytoin.,drugbank,Acetazolamide_ddi.xml
DDI-DrugBank.d368,DDI-DrugBank.d368.s1,This may increase or enhance the occurrence of osteomalacia in some patients receiving chronic phenytoin therapy.,drugbank,Acetazolamide_ddi.xml
DDI-DrugBank.d368,DDI-DrugBank.d368.s2,Caution is advised in patients receiving chronic concomitant therapy.,drugbank,Acetazolamide_ddi.xml
DDI-DrugBank.d368,DDI-DrugBank.d368.s3,"By decreasing the gastrointestinal absorption of primidone, DIAMOX may decrease serum concentrations of primidone and its metabolites, with a consequent possible decrease in anticonvulsant effect.",drugbank,Acetazolamide_ddi.xml
DDI-DrugBank.d368,DDI-DrugBank.d368.s4,"Caution is advised when beginning, discontinuing, or changing the dose of DIAMOX in patients receiving primidone.",drugbank,Acetazolamide_ddi.xml
DDI-DrugBank.d368,DDI-DrugBank.d368.s5,"Because of possible additive effects with other carbonic anhydrase inhibitors, concomitant use is not advisable.",drugbank,Acetazolamide_ddi.xml
DDI-DrugBank.d368,DDI-DrugBank.d368.s6,Acetazolamide may increase the effects of other folic acid antagonists.,drugbank,Acetazolamide_ddi.xml
DDI-DrugBank.d368,DDI-DrugBank.d368.s7,Acetazolamide may increase or decrease blood glucose levels.,drugbank,Acetazolamide_ddi.xml
DDI-DrugBank.d368,DDI-DrugBank.d368.s8,Consideration should be taken in patients being treated with antidiabetic agents.,drugbank,Acetazolamide_ddi.xml
DDI-DrugBank.d368,DDI-DrugBank.d368.s9,Acetazolamide decreases urinary excretion of amphetamine and may enhance the magnitude and duration of their effect.,drugbank,Acetazolamide_ddi.xml
DDI-DrugBank.d368,DDI-DrugBank.d368.s10,Acetazolamide reduces urinary excretion of quinidine and may enhance its effect.,drugbank,Acetazolamide_ddi.xml
DDI-DrugBank.d368,DDI-DrugBank.d368.s11,Acetazolamide may prevent the urinary antiseptic effect of methenamine.,drugbank,Acetazolamide_ddi.xml
DDI-DrugBank.d368,DDI-DrugBank.d368.s12,Acetazolamide increases lithium excretion and the lithium may be decreased.,drugbank,Acetazolamide_ddi.xml
DDI-DrugBank.d368,DDI-DrugBank.d368.s13,Acetazolamide and sodium bicarbonate used concurrently increases the risk of renal calculus formation.,drugbank,Acetazolamide_ddi.xml
DDI-DrugBank.d368,DDI-DrugBank.d368.s14,Acetazolamide may elevate cyclosporine levels.,drugbank,Acetazolamide_ddi.xml
DDI-DrugBank.d117,DDI-DrugBank.d117.s0,Concomitant use with iron supplements may result in the reduced absorption of iron.,drugbank,Acetohydroxamic Acid_ddi.xml
DDI-DrugBank.d200,DDI-DrugBank.d200.s0,Co-administration of probenecid with acyclovir has been shown to increase the mean half-life and the area under the concentration-time curve.,drugbank,Aciclovir_ddi.xml
DDI-DrugBank.d200,DDI-DrugBank.d200.s1,Urinary excretion and renal clearance were correspondingly reduced.,drugbank,Aciclovir_ddi.xml
DDI-DrugBank.d200,DDI-DrugBank.d200.s2,The clinical effects of this combination have not been studied.,drugbank,Aciclovir_ddi.xml
DDI-DrugBank.d353,DDI-DrugBank.d353.s0,Ethanol:Clinical evidence has shown that etretinate can be formed with concurrent ingestion of acitretin and ethanol.,drugbank,Acitretin_ddi.xml
DDI-DrugBank.d353,DDI-DrugBank.d353.s1,"Glibenclamide: In a study of 7 healthy male volunteers, acitretin treatment potentiated the blood glucose lowering effect of glibenclamide (a sulfonylurea similar to chlorpropamide) in 3 of the 7 subjects.",drugbank,Acitretin_ddi.xml
DDI-DrugBank.d353,DDI-DrugBank.d353.s2,Repeating the study with 6 healthy male volunteers in the absence of glibenclamide did not detect an effect of acitretin on glucose tolerance.,drugbank,Acitretin_ddi.xml
DDI-DrugBank.d353,DDI-DrugBank.d353.s3,Careful supervision of diabetic patients under treatment with Soriatane is recommended.,drugbank,Acitretin_ddi.xml
DDI-DrugBank.d353,DDI-DrugBank.d353.s4,Hormonal Contraceptives: It has not been established if there is a pharmacokinetic interaction between acitretin and combined oral contraceptives.,drugbank,Acitretin_ddi.xml
DDI-DrugBank.d353,DDI-DrugBank.d353.s5,"However, it has been established that acitretin interferes with the contraceptive effect of microdosed progestin minipill preparations.",drugbank,Acitretin_ddi.xml
DDI-DrugBank.d353,DDI-DrugBank.d353.s6,Microdosed minipill progestin preparations are not recommended for use with Soriatane.,drugbank,Acitretin_ddi.xml
DDI-DrugBank.d353,DDI-DrugBank.d353.s7,"It is not known whether other progestational contraceptives, such as implants and injectables, are adequate methods of contraception during acitretin therapy.",drugbank,Acitretin_ddi.xml
DDI-DrugBank.d353,DDI-DrugBank.d353.s8,Methotrexate: An increased risk of hepatitis has been reported to result from combined use of methotrexate and etretinate.,drugbank,Acitretin_ddi.xml
DDI-DrugBank.d353,DDI-DrugBank.d353.s9,"Consequently, the combination of methotrexate with acitretin is also contraindicated.",drugbank,Acitretin_ddi.xml
DDI-DrugBank.d353,DDI-DrugBank.d353.s10,"Phenytoin: If acitretin is given concurrently with phenytoin, the protein binding of phenytoin may be reduced.",drugbank,Acitretin_ddi.xml
DDI-DrugBank.d353,DDI-DrugBank.d353.s11,"Tetracyclines: Since both acitretin and tetracyclines can cause increased intracranial pressure, their combined use is contraindicated.",drugbank,Acitretin_ddi.xml
DDI-DrugBank.d353,DDI-DrugBank.d353.s12,Vitamin A and oral retinoids: Concomitant administration of vitamin A and/or other oral retinoids with acitretin must be avoided because of the risk of hypervitaminosis A.,drugbank,Acitretin_ddi.xml
DDI-DrugBank.d353,DDI-DrugBank.d353.s13,"Other: There appears to be no pharmacokinetic interaction between acitretin and cimetidine, digoxin, or glyburide.",drugbank,Acitretin_ddi.xml
DDI-DrugBank.d353,DDI-DrugBank.d353.s14,Investigations into the effect of acitretin on the protein binding of anticoagulants of the coumarin type (warfarin) revealed no interaction.,drugbank,Acitretin_ddi.xml
DDI-DrugBank.d353,DDI-DrugBank.d353.s15,"Laboratory Tests If significant abnormal laboratory results are obtained, either dosage reduction with careful monitoring or treatment discontinuation is recommended, depending on clinical judgement.",drugbank,Acitretin_ddi.xml
DDI-DrugBank.d353,DDI-DrugBank.d353.s16,Blood Sugar: Some patients receiving retinoids have experienced problems with blood sugar control.,drugbank,Acitretin_ddi.xml
DDI-DrugBank.d353,DDI-DrugBank.d353.s17,"In addition, new cases of diabetes have been diagnosed during retinoid therapy, including diabetic ketoacidosis.",drugbank,Acitretin_ddi.xml
DDI-DrugBank.d353,DDI-DrugBank.d353.s18,"In diabetics, blood-sugar levels should be monitored very carefully.",drugbank,Acitretin_ddi.xml
DDI-DrugBank.d353,DDI-DrugBank.d353.s19,"Lipids: In clinical studies, the incidence of hypertriglyceridemia was 66%, hypercholesterolemia was 33% and that of decreased HDL was 40%.",drugbank,Acitretin_ddi.xml
DDI-DrugBank.d353,DDI-DrugBank.d353.s20,Pretreatment and follow-up measurements should be obtained under fasting conditions.,drugbank,Acitretin_ddi.xml
DDI-DrugBank.d353,DDI-DrugBank.d353.s21,It is recommended that these tests be performed weekly or every other week until the lipid response to Soriatane has stabilized.,drugbank,Acitretin_ddi.xml
DDI-DrugBank.d353,DDI-DrugBank.d353.s22,"Liver Function Tests: Elevations of AST (SGOT), ALT (SGPT) or LDH were experienced by approximately 1 in 3 patients treated with Soriatane.",drugbank,Acitretin_ddi.xml
DDI-DrugBank.d353,DDI-DrugBank.d353.s23,"It is recommended that these tests be performed prior to initiation of Soriatane therapy, at 1- to 2-week intervals until stable and thereafter at intervals as clinically indicated.",drugbank,Acitretin_ddi.xml
DDI-DrugBank.d493,DDI-DrugBank.d493.s0,Methotrexate: HUMIRA has been studied in rheumatoid arthritis patients taking concomitant MTX.,drugbank,Adalimumab_ddi.xml
DDI-DrugBank.d493,DDI-DrugBank.d493.s1,The data do not suggest the need for dose adjustment of either HUMIRA or MTX.,drugbank,Adalimumab_ddi.xml
DDI-DrugBank.d493,DDI-DrugBank.d493.s2,"Anakinra: Concurrent administration of anakinra (an interleukin-1 antagonist) and another TNF-blocking agent has been associated with an increased risk of serious infections, an increased risk of neutropenia and no additional benefit compared to these medicinal products alone.",drugbank,Adalimumab_ddi.xml
DDI-DrugBank.d493,DDI-DrugBank.d493.s3,The safety and efficacy of anakinra used in combination with HUMIRA has not been studied.,drugbank,Adalimumab_ddi.xml
DDI-DrugBank.d493,DDI-DrugBank.d493.s4,"Therefore the, combination of anakinra with other TNF-blocking agents, including HUMIRA, may also result i n similar toxicities.",drugbank,Adalimumab_ddi.xml
DDI-DrugBank.d370,DDI-DrugBank.d370.s0,"As DIFFERIN Gel has the potential to produce local irritation in some patients, concomitant use of other potentially irritating topical products (medicated or abrasive soaps and cleansers, soaps and cosmetics that have a strong drying effect, and products with high concentrations of alcohol, astringents, spices or lime) should be approached with caution.",drugbank,Adapalene_ddi.xml
DDI-DrugBank.d370,DDI-DrugBank.d370.s1,"Particular caution should be exercised in using preparations containing sulfur, resorcinol, or salicylic acid in combination with DIFFERIN Gel.",drugbank,Adapalene_ddi.xml
DDI-DrugBank.d370,DDI-DrugBank.d370.s2,If these preparations have been used it is advisable not to start therapy with DIFFERIN Gel until the effects of such preparations in the skin have subsided.,drugbank,Adapalene_ddi.xml
DDI-DrugBank.d244,DDI-DrugBank.d244.s0,"Before using this medication, tell your doctor or pharmacist of all prescription and nonprescription products you may use, especially of: aminoglycosides (e.g., gentamicin, amikacin), amphotericin B, cyclosporine, non-steroidal anti-inflammatory drugs (e.g., ibuprofen), tacrolimus, vancomycin.",drugbank,Adefovir Dipivoxil_ddi.xml
DDI-DrugBank.d244,DDI-DrugBank.d244.s1,Do not start or stop any medicine without doctor or pharmacist approval.,drugbank,Adefovir Dipivoxil_ddi.xml
DDI-DrugBank.d226,DDI-DrugBank.d226.s0,"Intravenous Adenocard (adenosine) has been effectively administered in the presence of other cardioactive drugs, such as quinidine, beta-adrenergic blocking agents, calcium channel blocking agents, and angiotensin converting enzyme inhibitors, without any change in the adverse reaction profile.",drugbank,Adenosine_ddi.xml
DDI-DrugBank.d226,DDI-DrugBank.d226.s1,Digoxin and verapamil use may be rarely associated with ventricular fibrillation when combined with Adenocard.,drugbank,Adenosine_ddi.xml
DDI-DrugBank.d226,DDI-DrugBank.d226.s2,"Because of the potential for additive or synergistic depressant effects on the SA and AV nodes, however, Adenocard should be used with caution in the presence of these agents.",drugbank,Adenosine_ddi.xml
DDI-DrugBank.d226,DDI-DrugBank.d226.s3,The use of Adenocard in patients receiving digitalis may be rarely associated with ventricular fibrillation.,drugbank,Adenosine_ddi.xml
DDI-DrugBank.d226,DDI-DrugBank.d226.s4,The effects of adenosine are antagonized by methylxanthines such as caffeine and theophylline.,drugbank,Adenosine_ddi.xml
DDI-DrugBank.d226,DDI-DrugBank.d226.s5,"In the presence of these methylxanthines, larger doses of adenosine may be required or adenosine may not be effective.",drugbank,Adenosine_ddi.xml
DDI-DrugBank.d226,DDI-DrugBank.d226.s6,Adenosine effects are potentiated by dipyridamole.,drugbank,Adenosine_ddi.xml
DDI-DrugBank.d226,DDI-DrugBank.d226.s7,"Thus, smaller doses of adenosine may be effective in the presence of dipyridamole.",drugbank,Adenosine_ddi.xml
DDI-DrugBank.d226,DDI-DrugBank.d226.s8,Carbamazepine has been reported to increase the degree of heart block produced by other agents.,drugbank,Adenosine_ddi.xml
DDI-DrugBank.d226,DDI-DrugBank.d226.s9,"As the primary effect of adenosine is to decrease conduction through the A-V node, higher degrees of heart block may be produced in the presence of carbamazepine.",drugbank,Adenosine_ddi.xml
DDI-DrugBank.d449,DDI-DrugBank.d449.s0,Co-administration with antifungal agents such as ketoconazole or itraconazole is not recommended.,drugbank,Adinazolam_ddi.xml
DDI-DrugBank.d449,DDI-DrugBank.d449.s1,"Nafazodone, fluvoxamine, cimetidine (consider Xanax dose reduction).",drugbank,Adinazolam_ddi.xml
DDI-DrugBank.d449,DDI-DrugBank.d449.s2,"Fluoxetine, OCs, sertraline, diltiazem, macrolide antibiotics (exercise caution).",drugbank,Adinazolam_ddi.xml
DDI-DrugBank.d164,DDI-DrugBank.d164.s0,No drug interaction studies were performed.,drugbank,Agalsidase beta_ddi.xml
DDI-DrugBank.d164,DDI-DrugBank.d164.s1,No in vitro metabolism studies were performed.,drugbank,Agalsidase beta_ddi.xml
DDI-DrugBank.d321,DDI-DrugBank.d321.s0,Dexamethasone: Steady-state trough concentrations of albendazole sulfoxide were about 56% higher when 8 mg dexamethasone was coadministered with each dose of albendazole (15 mg/kg/day) in eight neurocysticercosis patients.,drugbank,Albendazole_ddi.xml
DDI-DrugBank.d321,DDI-DrugBank.d321.s1,"Praziquantel: In the fed state, praziquantel (40 mg/kg) increased mean maximum plasma concentration and area under the curve of albendazole sulfoxide by about 50% in healthy subjects (n=10) compared with a separate group of subjects (n=6) given albendazole alone.",drugbank,Albendazole_ddi.xml
DDI-DrugBank.d321,DDI-DrugBank.d321.s2,Mean T max and mean plasma elimination half-life of albendazole sulfoxide were unchanged.,drugbank,Albendazole_ddi.xml
DDI-DrugBank.d321,DDI-DrugBank.d321.s3,The pharmacokinetics of praziquantel were unchanged following coadministration with albendazole (400 mg).,drugbank,Albendazole_ddi.xml
DDI-DrugBank.d321,DDI-DrugBank.d321.s4,Cimetidine: Albendazole sulfoxide concentrations in bile and cystic fluid were increased (about 2-fold) in hydatid cyst patients treated with cimetidine (10 mg/kg/day) (n=7) compared with albendazole (20 mg/kg/day) alone (n=12).,drugbank,Albendazole_ddi.xml
DDI-DrugBank.d321,DDI-DrugBank.d321.s5,Albendazole sulfoxide plasma concentrations were unchanged 4 hours after dosing.,drugbank,Albendazole_ddi.xml
DDI-DrugBank.d321,DDI-DrugBank.d321.s6,Theophylline: The pharmacokinetics of theophylline (aminophylline 5.8 mg/kg infused over 20 minutes) were unchanged following a single oral dose of albendazole (400 mg) in 6 healthy subjects.,drugbank,Albendazole_ddi.xml
DDI-DrugBank.d102,DDI-DrugBank.d102.s0,No information provided,drugbank,Alclometasone_ddi.xml
DDI-DrugBank.d114,DDI-DrugBank.d114.s0,PROLEUKIN may affect central nervous function.,drugbank,Aldesleukin_ddi.xml
DDI-DrugBank.d114,DDI-DrugBank.d114.s1,"Therefore, interactions could occur following concomitant administration of psychotropic drugs (e.g., narcotics, analgesics, antiemetics, sedatives, tranquilizers).",drugbank,Aldesleukin_ddi.xml
DDI-DrugBank.d114,DDI-DrugBank.d114.s2,"Concurrent administration of drugs possessing nephrotoxic (e.g., aminoglycosides, indomethacin), myelotoxic (e.g., cytotoxic chemotherapy), cardiotoxic (e.g., doxorubicin) or hepatotoxic (e.g., methotrexate, asparaginase) effects with PROLEUKIN may increase toxicity in these organ systems.",drugbank,Aldesleukin_ddi.xml
DDI-DrugBank.d114,DDI-DrugBank.d114.s3,The safety and efficacy of PROLEUKIN in combination with any antineoplastic agents have not been established.,drugbank,Aldesleukin_ddi.xml
DDI-DrugBank.d114,DDI-DrugBank.d114.s4,"In addition, reduced kidney and liver function secondary to PROLEUKIN treatment may delay elimination of concomitant medications and increase the risk of adverse events from those drugs.",drugbank,Aldesleukin_ddi.xml
DDI-DrugBank.d114,DDI-DrugBank.d114.s5,"Hypersensitivity reactions have been reported in patients receiving combination regimens containing sequential high dose PROLEUKIN and antineoplastic agents, specifically, dacarbazine, cis-platinum, tamoxifen and interferon-alfa.",drugbank,Aldesleukin_ddi.xml
DDI-DrugBank.d114,DDI-DrugBank.d114.s6,"These reactions consisted of erythema, pruritus, and hypotension and occurred within hours of administration of chemotherapy.",drugbank,Aldesleukin_ddi.xml
DDI-DrugBank.d114,DDI-DrugBank.d114.s7,These events required medical intervention in some patients.,drugbank,Aldesleukin_ddi.xml
DDI-DrugBank.d114,DDI-DrugBank.d114.s8,"Myocardial injury, including myocardial infarction, myocarditis, ventricular hypokinesia, and severe rhabdomyolysis appear to be increased in patients receiving PROLEUKIN and interferon-alfa concurrently.",drugbank,Aldesleukin_ddi.xml
DDI-DrugBank.d114,DDI-DrugBank.d114.s9,"Exacerbation or the initial presentation of a number of autoimmune and inflammatory disorders has been observed following concurrent use of interferon-alfa and PROLEUKIN, including crescentic IgA glomerulonephritis, oculo-bulbar myasthenia gravis, inflammatory arthritis, thyroiditis, bullous pemphigoid, and Stevens-Johnson syndrome.",drugbank,Aldesleukin_ddi.xml
DDI-DrugBank.d114,DDI-DrugBank.d114.s10,"Although glucocorticoids have been shown to reduce PROLEUKIN-induced side effects including fever, renal insufficiency, hyperbilirubinemia, confusion, and dyspnea, concomitant administration of these agents with PROLEUKIN may reduce the antitumor effectiveness of PROLEUKIN and thus should be avoided. 12 Beta-blockers and other antihypertensives may potentiate the hypotension seen with PROLEUKIN.",drugbank,Aldesleukin_ddi.xml
DDI-DrugBank.d114,DDI-DrugBank.d114.s11,"Delayed Adverse Reactions to Iodinated Contrast Media: A review of the literature revealed that 12.6% (range 11-28%) of 501 patients treated with various interleukin-2 containing regimens who were subsequently administered radiographic iodinated contrast media experienced acute, atypical adverse reactions.",drugbank,Aldesleukin_ddi.xml
DDI-DrugBank.d114,DDI-DrugBank.d114.s12,The onset of symptoms usually occurred within hours (most commonly 1 to 4 hours) following the administration of contrast media.,drugbank,Aldesleukin_ddi.xml
DDI-DrugBank.d114,DDI-DrugBank.d114.s13,"These reactions include fever, chills, nausea, vomiting, pruritus, rash, diarrhea, hypotension, edema, and oliguria.",drugbank,Aldesleukin_ddi.xml
DDI-DrugBank.d114,DDI-DrugBank.d114.s14,"Some clinicians have noted that these reactions resemble the immediate side effects caused by interleukin-2 administration, however the cause of contrast reactions after interleukin-2 therapy is unknown.",drugbank,Aldesleukin_ddi.xml
DDI-DrugBank.d114,DDI-DrugBank.d114.s15,Most events were reported to occur when contrast media was given within 4 weeks after the last dose of interleukin-2.,drugbank,Aldesleukin_ddi.xml
DDI-DrugBank.d114,DDI-DrugBank.d114.s16,These events were also reported to occur when contrast media was given several months after interleukin-2 treatment.,drugbank,Aldesleukin_ddi.xml
DDI-DrugBank.d491,DDI-DrugBank.d491.s0,No formal interaction studies have been performed.,drugbank,Alefacept_ddi.xml
DDI-DrugBank.d491,DDI-DrugBank.d491.s1,The duration of the period following treatment with AMEVIVE  before one should consider starting other immunosuppressive therapy has not been evaluated.,drugbank,Alefacept_ddi.xml
DDI-DrugBank.d491,DDI-DrugBank.d491.s2,"Carcinogenesis, Mutagenesis, and Fertility",drugbank,Alefacept_ddi.xml
DDI-DrugBank.d491,DDI-DrugBank.d491.s3,"In a chronic toxicity study, cynomolgus monkeys were dosed weekly for 52 weeks with intravenous alefacept at 1 mg/kg/dose or 20 mg/kg/dose.",drugbank,Alefacept_ddi.xml
DDI-DrugBank.d491,DDI-DrugBank.d491.s4,One animal in the high dose group developed a B-cell lymphoma that was detected after 28 weeks of dosing.,drugbank,Alefacept_ddi.xml
DDI-DrugBank.d491,DDI-DrugBank.d491.s5,Additional animals in both dose groups developed B-cell hyperplasia of the spleen and lymph nodes.,drugbank,Alefacept_ddi.xml
